"","Player","Game","Team","Cmp","PassAtt","PassYds","PassTD","PassInt","Sk","YdsLost","PassLng","Rate","RushAtt","RushYds","RushTD","RushLng","Tgt","Rec","RecYds","RecTD","RecLng","Fmb","FL","FirstDPass","FirstDPassPer","IAY","IAYPerPA","CAY","CAYPerCmp","CAYPerPA","PassYAC","YACPerCmp","PassDrops","DropPer","BadThrow","BadPer","Bltz","Hrry","Hits","Prss","PrssPer","Scrm","YdsPerScr","FirstDRush","RushYBC","YBCPerAtt","RushYAC","YACPerAtt","RushBrkTkl","AttPerBr","FirstDRec","RecYBC","YBCPerR","RecYAC","YACPerR","ADOT","RecBrkTkl","RecPerBr","RecDrop","DropPerRec","RecInt","Rat"
"295","Gerald Everett","202101030ram","LAR","0","0","0","0","0","0","0","0","","0","0","0","0","7","2","25","0","13","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","17","8.5","8","4.0","15.9","0","","1","14.3","0","42.0"
"296","John Wolford","202101030ram","LAR","22","38","231","0","1","2","8","38","64.7","6","56","0","14","0","0","0","0","0","0","0","12","30.0","358","9.4","138","6.3","3.6","93","4.2","1","2.7%","10","27.0%","18","3","4","9","21.4%","2","12.0","4","38","6.3","18","3.0","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"297","Jonathan Ward","202101030ram","ARI","0","0","0","0","0","0","0","0","","0","0","0","0","1","1","11","1","11","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","-4","-4.0","15","15.0","-4.0","0","","0","0.0","0","152.1"
"298","Josh Reynolds","202101030ram","LAR","0","0","0","0","0","0","0","0","","0","0","0","0","6","4","29","0","12","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","23","5.8","6","1.5","5.2","0","","0","0.0","1","38.2"
"299","KeeSean Johnson","202101030ram","ARI","0","0","0","0","0","0","0","0","","0","0","0","0","2","2","13","0","7","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0.0","13","6.5","0.0","0","","0","0.0","0","93.7"
"300","Kenyan Drake","202101030ram","ARI","0","0","0","0","0","0","0","0","","10","36","0","12","3","3","15","0","10","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","11","1.1","25","2.5","1","10.0","1","-4","-1.3","19","6.3","-1.3","0","","0","0.0","0","87.5"
"301","Kyler Murray","202101030ram","ARI","8","11","87","0","0","2","16","26","95.6","2","3","0","7","0","0","0","0","0","0","0","5","38.5","107","9.7","41","5.1","3.7","46","5.8","0","0.0%","1","9.1%","3","0","0","2","15.4%","0","","0","3","1.5","0","0.0","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"302","Malcolm Brown","202101030ram","LAR","0","0","0","0","0","0","0","0","","3","20","0","12","1","1","-2","0","-2","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","13","4.3","7","2.3","0","","0","-6","-6.0","4","4.0","-6.0","0","","0","0.0","0","79.2"
"303","Robert Woods","202101030ram","LAR","0","0","0","0","0","0","0","0","","0","0","0","0","7","4","36","0","27","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","19","4.8","17","4.3","4.3","0","","0","0.0","0","71.1"
"304","Trent Sherfield","202101030ram","ARI","0","0","0","0","0","0","0","0","","0","0","0","0","6","4","44","0","26","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","17","4.3","27","6.8","12.7","0","","0","0.0","1","48.6"
"305","Tyler Higbee","202101030ram","LAR","0","0","0","0","0","0","0","0","","0","0","0","0","4","3","41","0","26","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","33","11.0","8","2.7","14.0","0","","0","0.0","0","107.3"
"306","Van Jefferson","202101030ram","LAR","0","0","0","0","0","0","0","0","","0","0","0","0","8","4","50","0","19","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","25","6.3","25","6.3","13.6","1","4.0","0","0.0","0","69.8"
"307","Brian Hill","202009130atl","ATL","0","0","0","0","0","0","0","0","","3","12","0","10","2","2","8","0","4","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","6","2.0","6","2.0","0","","0","7","3.5","1","0.5","3.5","0","","0","0.0","0","83.3"
"308","Calvin Ridley","202009130atl","ATL","0","0","0","0","0","0","0","0","","1","-1","0","-1","12","9","130","2","22","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","-1","-1.0","0","0.0","0","","9","109","12.1","21","2.3","11.8","0","","0","0.0","0","149.3"
"309","Carlos Hyde","202009130atl","SEA","0","0","0","0","0","0","0","0","","7","23","1","9","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","13","1.9","10","1.4","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"310","Chris Carson","202009130atl","SEA","0","0","0","0","0","0","0","0","","6","21","0","11","6","6","45","2","19","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","5","0.8","16","2.7","1","6.0","3","-17","-2.8","62","10.3","-2.8","0","","0","0.0","0","137.5"
"311","D.K. Metcalf","202009130atl","SEA","0","0","0","0","0","0","0","0","","0","0","0","0","8","4","95","1","38","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","75","18.8","20","5.0","14.8","0","","1","12.5","0","132.8"
"312","David Moore","202009130atl","SEA","0","0","0","0","0","0","0","0","","1","12","0","12","3","3","28","0","18","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","8","8.0","4","4.0","0","","1","3","1.0","25","8.3","1.0","0","","0","0.0","0","105.6"
