"","Player","Game","Team","Cmp","PassAtt","PassYds","PassTD","PassInt","Sk","YdsLost","PassLng","Rate","RushAtt","RushYds","RushTD","RushLng","Tgt","Rec","RecYds","RecTD","RecLng","Fmb","FL","FirstDPass","FirstDPassPer","IAY","IAYPerPA","CAY","CAYPerCmp","CAYPerPA","PassYAC","YACPerCmp","PassDrops","DropPer","BadThrow","BadPer","Bltz","Hrry","Hits","Prss","PrssPer","Scrm","YdsPerScr","FirstDRush","RushYBC","YBCPerAtt","RushYAC","YACPerAtt","RushBrkTkl","AttPerBr","FirstDRec","RecYBC","YBCPerR","RecYAC","YACPerR","ADOT","RecBrkTkl","RecPerBr","RecDrop","DropPerRec","RecInt","Rat"
"4006","DJ Chark","202011080jax","JAX","0","0","0","0","0","0","0","0","","0","0","0","0","12","7","146","1","73","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","94","13.4","52","7.4","14.3","0","","1","8.3","0","129.2"
"4007","Duke Johnson","202011080jax","HOU","0","0","0","0","0","0","0","0","","16","41","1","8","4","4","32","0","12","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","8","0.5","33","2.1","1","16.0","1","0","0.0","32","8.0","0.0","0","","0","0.0","0","100.0"
"4008","Jake Luton","202011080jax","JAX","26","38","304","1","1","2","16","73","90.2","1","13","1","13","0","0","0","0","0","1","0","13","32.5","323","8.5","169","6.5","4.4","135","5.2","2","5.3%","8","21.1%","14","2","3","7","17.1%","1","13.0","1","0","0.0","13","13.0","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4009","James O'Shaughnessy","202011080jax","JAX","0","0","0","0","0","0","0","0","","0","0","0","0","2","1","9","0","9","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","6","6.0","3","3.0","13.5","0","","0","0.0","1","22.9"
"4010","James Robinson","202011080jax","JAX","0","0","0","0","0","0","0","0","","25","99","1","12","2","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","39","1.6","60","2.4","0","","0","0","","0","","-5.0","0","","1","50.0","0","39.6"
"4011","Jordan Akins","202011080jax","HOU","0","0","0","0","0","0","0","0","","0","0","0","0","4","2","19","0","10","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","10","5.0","9","4.5","10.3","0","","1","25.0","0","63.5"
"4012","Keelan Cole","202011080jax","JAX","0","0","0","0","0","0","0","0","","0","0","0","0","2","1","6","0","6","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","6","6.0","0","0.0","20.5","0","","0","0.0","0","56.2"
"4013","Laviska Shenault Jr.","202011080jax","JAX","0","0","0","0","0","0","0","0","","0","0","0","0","1","1","-1","0","-1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","-3","-3.0","2","2.0","-3.0","0","","0","0.0","0","79.2"
"4014","Pharaoh Brown","202011080jax","HOU","0","0","0","0","0","0","0","0","","0","0","0","0","1","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","0","","0","","24.0","0","","0","0.0","0","39.6"
"4015","Randall Cobb","202011080jax","HOU","0","0","0","0","0","0","0","0","","0","0","0","0","3","3","21","0","11","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","13","4.3","8","2.7","4.3","0","","0","0.0","0","95.8"
"4016","Tyler Eifert","202011080jax","JAX","0","0","0","0","0","0","0","0","","0","0","0","0","5","4","48","0","17","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","24","6.0","24","6.0","4.8","0","","0","0.0","0","106.7"
"4017","Will Fuller","202011080jax","HOU","0","0","0","0","0","0","0","0","","0","0","0","0","5","5","100","1","77","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","35","7.0","65","13.0","7.0","0","","0","0.0","0","158.3"
"4018","Austin Hooper","202011150cle","CLE","0","0","0","0","0","0","0","0","","0","0","0","0","2","1","11","0","11","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","11","11.0","0","0.0","11.5","0","","0","0.0","0","66.7"
"4019","Baker Mayfield","202011150cle","CLE","12","20","132","0","0","1","7","21","79.6","3","1","0","3","0","0","0","0","0","0","0","5","23.8","165","8.3","77","6.4","3.9","55","4.6","0","0.0%","6","31.6%","8","1","1","3","13.6%","1","3.0","0","1","0.3","0","0.0","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4020","Brandin Cooks","202011150cle","HOU","0","0","0","0","0","0","0","0","","0","0","0","0","8","6","39","0","10","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","3","0.5","36","6.0","5.4","0","","0","0.0","0","84.9"
"4021","C.J. Prosise","202011150cle","HOU","0","0","0","0","0","0","0","0","","0","0","0","0","1","1","-2","0","-2","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","-4","-4.0","2","2.0","-4.0","0","","0","0.0","0","79.2"
"4022","Darren Fells","202011150cle","HOU","0","0","0","0","0","0","0","0","","0","0","0","0","1","1","15","0","15","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0.0","15","15.0","0.0","0","","0","0.0","0","118.7"
"4023","Deshaun Watson","202011150cle","HOU","20","30","163","1","0","2","10","29","91.4","8","36","0","9","0","0","0","0","0","0","0","7","21.9","180","6.0","71","3.6","2.4","92","4.6","0","0.0%","7","24.1%","13","1","1","4","11.8%","2","6.0","4","36","4.5","0","0.0","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4024","Donovan Peoples-Jones","202011150cle","CLE","0","0","0","0","0","0","0","0","","0","0","0","0","2","2","16","0","10","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","15","7.5","1","0.5","7.5","0","","0","0.0","0","100.0"
"4025","Duke Johnson","202011150cle","HOU","0","0","0","0","0","0","0","0","","14","54","0","23","1","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","43","3.1","11","0.8","1","14.0","0","0","","0","","0.0","0","","0","0.0","0","39.6"
"4026","Jarvis Landry","202011150cle","CLE","0","0","0","0","0","0","0","0","","0","0","0","0","5","3","29","0","18","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","15","5.0","14","4.7","11.0","0","","0","0.0","0","76.2"
"4027","Jordan Akins","202011150cle","HOU","0","0","0","0","0","0","0","0","","0","0","0","0","1","1","5","0","5","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5","5.0","0","0.0","5.0","0","","0","0.0","0","87.5"
"4028","Kareem Hunt","202011150cle","CLE","0","0","0","0","0","0","0","0","","19","104","0","19","4","3","28","0","12","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","74","3.9","30","1.6","3","6.3","1","-6","-2.0","34","11.3","0.3","1","3.0","0","0.0","0","93.7"
"4029","Kenny Stills","202011150cle","HOU","0","0","0","0","0","0","0","0","","0","0","0","0","1","1","6","0","6","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","6","6.0","0","0.0","6.0","0","","0","0.0","0","91.7"
"4030","KhaDarel Hodge","202011150cle","CLE","0","0","0","0","0","0","0","0","","0","0","0","0","1","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","0","","0","","0.0","0","","0","0.0","0","39.6"
"4031","Nick Chubb","202011150cle","CLE","0","0","0","0","0","0","0","0","","19","126","1","59","1","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8","114","6.0","12","0.6","1","19.0","0","0","","0","","7.0","0","","0","0.0","0","39.6"
"4032","Pharaoh Brown","202011150cle","HOU","0","0","0","0","0","0","0","0","","0","0","0","0","2","2","21","1","16","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","17","8.5","4","2.0","8.5","0","","0","0.0","0","150.0"
"4033","Randall Cobb","202011150cle","HOU","0","0","0","0","0","0","0","0","","0","0","0","0","5","3","41","0","29","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","30","10.0","11","3.7","8.2","0","","0","0.0","0","86.2"
"4034","Rashard Higgins","202011150cle","CLE","0","0","0","0","0","0","0","0","","0","0","0","0","4","3","48","0","21","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","42","14.0","6","2.0","16.0","0","","0","0.0","0","114.6"
"4035","Will Fuller","202011150cle","HOU","0","0","0","0","0","0","0","0","","0","0","0","0","8","5","38","0","12","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","14","2.8","24","4.8","9.5","0","","0","0.0","0","74.0"
"4036","Brandin Cooks","202011220htx","HOU","0","0","0","0","0","0","0","0","","0","0","0","0","5","4","85","0","44","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","55","13.8","30","7.5","11.4","0","","0","0.0","0","118.7"
"4037","C.J. Prosise","202011220htx","HOU","0","0","0","0","0","0","0","0","","3","4","0","3","2","2","8","0","4","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","0","0.0","4","1.3","0","","","-8","-4.0","16","8.0","-4.0","0","","0","0.0","0","83.3"
"4038","Cam Newton","202011220htx","NWE","26","40","365","1","0","2","16","50","102.6","3","6","0","5","0","0","0","0","0","0","0","16","38.1","239","6.0","172","6.6","4.3","193","7.4","1","2.6%","6","15.8%","18","11","6","19","45.2%","0","","2","6","2.0","0","0.0","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4039","Damien Harris","202011220htx","NWE","0","0","0","0","0","0","0","0","","11","43","1","9","2","1","11","0","11","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","28","2.5","15","1.4","1","11.0","1","4","4.0","7","7.0","3.0","0","","0","0.0","0","66.7"
"4040","Damiere Byrd","202011220htx","NWE","0","0","0","0","0","0","0","0","","1","11","0","11","7","6","132","1","42","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","11","11.0","0","0.0","0","","6","106","17.7","26","4.3","17.9","0","","0","0.0","0","158.3"
"4041","Darren Fells","202011220htx","HOU","0","0","0","0","0","0","0","0","","0","0","0","0","2","2","29","0","16","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","19","9.5","10","5.0","9.5","2","1.0","0","0.0","0","118.7"
"4042","Deshaun Watson","202011220htx","HOU","28","37","344","2","0","0","0","44","121.9","6","36","1","11","0","0","0","0","0","0","0","17","45.9","314","8.5","177","6.3","4.8","167","6.0","2","5.4%","5","13.5%","4","8","2","10","23.3%","6","6.0","2","34","5.7","2","0.3","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4043","Donte Moncrief","202011220htx","NWE","0","0","0","0","0","0","0","0","","0","0","0","0","2","1","15","0","15","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1.0","14","14.0","2.5","0","","0","0.0","0","75.0"
"4044","Duke Johnson","202011220htx","HOU","0","0","0","0","0","0","0","0","","10","15","0","3","5","3","20","0","9","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","10","1.0","5","0.5","1","10.0","","-1","-0.3","21","7.0","5.4","1","3.0","1","20.0","0","68.7"
"4045","Jakobi Meyers","202011220htx","NWE","0","0","0","0","0","0","0","0","","0","0","0","0","3","3","38","0","20","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","12","4.0","26","8.7","4.0","0","","0","0.0","0","118.7"
"4046","James White","202011220htx","NWE","0","0","0","0","0","0","0","0","","5","19","0","8","9","6","64","0","34","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","12","2.4","7","1.4","1","5.0","3","-21","-3.5","85","14.2","-2.0","0","","0","0.0","0","87.3"
"4047","Jordan Akins","202011220htx","HOU","0","0","0","0","0","0","0","0","","0","0","0","0","6","5","83","0","25","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","50","10.0","33","6.6","11.0","0","","0","0.0","0","118.7"
"4048","Jordan Thomas","202011220htx","NWE","0","0","0","0","0","0","0","0","","0","0","0","0","1","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","0","","0","","12.0","0","","0","0.0","0","39.6"
"4049","Keke Coutee","202011220htx","HOU","0","0","0","0","0","0","0","0","","0","0","0","0","4","2","10","1","6","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","10","5.0","0","0.0","10.0","0","","0","0.0","0","95.8"
"4050","N'Keal Harry","202011220htx","NWE","0","0","0","0","0","0","0","0","","0","0","0","0","8","5","41","0","13","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","26","5.2","15","3.0","4.3","0","","1","12.5","0","75.5"
"4051","Pharaoh Brown","202011220htx","HOU","0","0","0","0","0","0","0","0","","0","0","0","0","3","2","22","0","18","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","5","2.5","17","8.5","7.0","1","2.0","0","0.0","0","88.2"
"4052","Randall Cobb","202011220htx","HOU","0","0","0","0","0","0","0","0","","0","0","0","0","2","2","7","1","4","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","4","2.0","3","1.5","2.0","0","","0","0.0","0","120.8"
"4053","Rex Burkhead","202011220htx","NWE","0","0","0","0","0","0","0","0","","4","7","0","4","3","2","5","0","7","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","7","1.8","0","0.0","0","","1","-7","-3.5","12","6.0","0.7","1","2.0","0","0.0","0","70.1"
"4054","Ryan Izzo","202011220htx","NWE","0","0","0","0","0","0","0","0","","0","0","0","0","3","2","59","0","50","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","51","25.5","8","4.0","20.3","0","","0","0.0","0","109.7"
"4055","Will Fuller","202011220htx","HOU","0","0","0","0","0","0","0","0","","0","0","0","0","8","6","80","0","22","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","43","7.2","37","6.2","11.0","3","2.0","1","12.5","0","106.2"
"4056","Adrian Peterson","202011260det","DET","0","0","0","0","0","0","0","0","","15","55","2","19","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","34","2.3","21","1.4","2","7.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4057","Brandin Cooks","202011260det","HOU","0","0","0","0","0","0","0","0","","0","0","0","0","5","5","85","0","27","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","59","11.8","26","5.2","11.8","0","","0","0.0","0","118.7"
"4058","C.J. Prosise","202011260det","HOU","0","0","0","0","0","0","0","0","","5","12","0","7","1","1","2","1","2","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","10","2.0","2","0.4","0","","1","1","1.0","1","1.0","1.0","0","","0","0.0","0","118.7"
"4059","Deshaun Watson","202011260det","HOU","17","25","318","4","0","2","11","40","150.4","8","24","0","12","0","0","0","0","0","0","0","15","55.6","319","12.8","203","11.9","8.1","115","6.8","1","4.3%","2","8.7%","6","6","1","9","30.0%","3","9.0","2","24","3.0","0","0.0","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4060","Duke Johnson","202011260det","HOU","0","0","0","0","0","0","0","0","","9","37","0","8","4","3","43","1","33","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","26","2.9","11","1.2","0","","2","28","9.3","15","5.0","6.0","0","","0","0.0","0","149.0"
"4061","Jamal Agnew","202011260det","DET","0","1","0","0","0","0","0","0","39.6","0","0","0","0","1","0","0","0","0","0","0","","","15","15.0","0","","0.0","0","","0","0.0%","0","0.0%","0","0","0","0","0.0%","0","",NA,NA,NA,NA,NA,NA,NA,"","0","","0","","1.0","0","","0","0.0","0","39.6"
"4062","Jason Cabinda","202011260det","DET","0","0","0","0","0","0","0","0","","1","0","0","0","1","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","0","0.0","0","0.0","0","","","0","","0","","-6.0","0","","0","0.0","1","0.0"
"4063","Jesse James","202011260det","DET","0","0","0","0","0","0","0","0","","0","0","0","0","1","1","10","0","10","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","3","3.0","7","7.0","3.0","0","","0","0.0","0","108.3"
"4064","Jonathan Williams","202011260det","DET","0","0","0","0","0","0","0","0","","1","5","0","5","4","4","21","0","10","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","5","5.0","0","0.0","0","","2","-2","-0.5","23","5.8","-0.5","0","","0","0.0","0","88.5"
"4065","Jordan Akins","202011260det","HOU","0","0","0","0","0","0","0","0","","1","4","0","4","2","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0.0","4","4.0","1","1.0","0","0","","0","","15.5","0","","0","0.0","0","39.6"
"4066","Kahale Warring","202011260det","HOU","0","0","0","0","0","0","0","0","","0","0","0","0","1","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","0","","0","","6.0","0","","1","100.0","0","39.6"
"4067","Keke Coutee","202011260det","HOU","0","0","0","0","0","0","0","0","","0","0","0","0","3","2","17","0","9","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","10","5.0","7","3.5","16.7","1","2.0","0","0.0","0","81.2"
"4068","Kerryon Johnson","202011260det","DET","0","0","0","0","0","0","0","0","","11","46","0","8","4","4","52","0","20","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","27","2.5","19","1.7","1","11.0","3","7","1.8","45","11.3","1.8","1","4.0","0","0.0","0","118.7"
"4069","Marvin Hall","202011260det","DET","0","0","0","0","0","0","0","0","","0","0","0","0","4","2","16","0","9","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","14","7.0","2","1.0","9.5","0","","1","25.0","0","60.4"
"4070","Marvin Jones","202011260det","DET","0","0","0","0","0","0","0","0","","0","0","0","0","12","6","48","0","16","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","32","5.3","16","2.7","14.0","0","","0","0.0","0","60.4"
"4071","Matthew Stafford","202011260det","DET","28","42","295","1","1","4","16","51","84.9","1","3","0","3","1","0","0","0","0","1","0","17","37.0","333","7.9","133","4.8","3.2","162","5.8","2","4.9%","5","12.2%","22","4","5","13","27.7%","1","3.0","1","3","3.0","0","0.0","0","","0","0","","0","","15.0","0","","0","0.0","0","39.6"
"4072","Mohamed Sanu","202011260det","DET","0","0","0","0","0","0","0","0","","0","0","0","0","4","4","32","1","14","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","29","7.3","3","0.8","7.3","0","","0","0.0","0","139.6"
"4073","Quintez Cephus","202011260det","DET","0","0","0","0","0","0","0","0","","0","0","0","0","2","2","27","0","16","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","23","11.5","4","2.0","11.5","0","","0","0.0","0","118.7"
"4074","T.J. Hockenson","202011260det","DET","0","0","0","0","0","0","0","0","","0","0","0","0","8","5","89","0","51","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","27","5.4","62","12.4","6.8","0","","1","12.5","0","100.5"
"4075","Will Fuller","202011260det","HOU","0","0","0","0","0","0","0","0","","0","0","0","0","7","6","171","2","40","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","105","17.5","66","11.0","15.9","0","","0","0.0","0","158.3"
"4076","Ashton Dulin","202012060htx","IND","0","0","0","0","0","0","0","0","","0","0","0","0","1","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","0","","0","","0.0","0","","0","0.0","0","39.6"
"4077","Brandin Cooks","202012060htx","HOU","0","0","0","0","0","0","0","0","","0","0","0","0","8","5","65","0","23","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","43","8.6","22","4.4","13.1","0","","0","0.0","1","48.4"
"4078","Chad Hansen","202012060htx","HOU","0","0","0","0","0","0","0","0","","0","0","0","0","7","5","101","0","28","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","88","17.6","13","2.6","15.9","0","","0","0.0","0","113.7"
"4079","Darren Fells","202012060htx","HOU","0","0","0","0","0","0","0","0","","0","0","0","0","1","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","0","","0","","5.0","0","","0","0.0","0","39.6"
"4080","David Johnson","202012060htx","HOU","0","0","0","0","0","0","0","0","","10","44","1","19","2","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","25","2.5","19","1.9","1","10.0","0","0","","0","","8.0","0","","0","0.0","0","39.6"
"4081","De'Michael Harris","202012060htx","IND","0","0","0","0","0","0","0","0","","1","-3","0","-3","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","-3","-3.0","0","0.0","1","1.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4082","Deshaun Watson","202012060htx","HOU","26","38","341","0","1","5","33","64","85.5","7","38","1","11","0","0","0","0","0","2","1","15","34.9","394","10.4","235","9.0","6.2","106","4.1","0","0.0%","4","10.8%","6","5","4","14","29.2%","5","5.4","1","16","2.3","22","3.1","2","3.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
