"","Player","Game","Team","Cmp","PassAtt","PassYds","PassTD","PassInt","Sk","YdsLost","PassLng","Rate","RushAtt","RushYds","RushTD","RushLng","Tgt","Rec","RecYds","RecTD","RecLng","Fmb","FL","FirstDPass","FirstDPassPer","IAY","IAYPerPA","CAY","CAYPerCmp","CAYPerPA","PassYAC","YACPerCmp","PassDrops","DropPer","BadThrow","BadPer","Bltz","Hrry","Hits","Prss","PrssPer","Scrm","YdsPerScr","FirstDRush","RushYBC","YBCPerAtt","RushYAC","YACPerAtt","RushBrkTkl","AttPerBr","FirstDRec","RecYBC","YBCPerR","RecYAC","YACPerR","ADOT","RecBrkTkl","RecPerBr","RecDrop","DropPerRec","RecInt","Rat","fanPts"
"1906","Pat Freiermuth","202111140pit","PIT","0","0",0,0,0,"0","0","0","","0",0,0,"0","9",5,31,0,"10","1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","19","3.8","12","2.4","6.3","0","","1","11.1","0","62.7",6.1
"1907","Ray-Ray McCloud","202111140pit","PIT","0","0",0,0,0,"0","0","0","","0",0,0,"0","12",9,63,0,"17","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","57","6.3","6","0.7","6.8","0","","0","0.0","0","86.5",15.3
"1908","T.J. Hockenson","202111140pit","DET","0","0",0,0,0,"0","0","0","","0",0,0,"0","1",0,0,0,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","0","","0","","-2.0","0","","0","0.0","0","39.6",0
"1909","Trinity Benson","202111140pit","DET","0","0",0,0,0,"0","0","0","","0",0,0,"0","3",2,17,0,"5","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","8","4.0","9","4.5","5.7","0","","0","0.0","0","81.2",3.7
"1910","Aaron Jones","202109120nor","GNB","0","0",0,0,0,"0","0","0","","5",9,0,"3","2",2,13,0,"7","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5","1.0","4","0.8","0","","","-1","-0.5","14","7.0","-0.5","0","","0","0.0","0","93.7",4.2
"1911","Aaron Rodgers","202109120nor","GNB","15","28",133,0,2,"1","11","31","36.8","0",0,0,"0","0",0,0,0,"0","0",0,"6","20.7","244","8.7","67","4.5","2.4","66","4.4","0",0,"10",38.5,"2","3","5","9",31,"0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.32
"1912","Adam Trautman","202109120nor","NOR","0","0",0,0,0,"0","0","0","","0",0,0,"0","6",3,18,0,"8","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","7","2.3","11","3.7","5.2","0","","2","33.3","0","56.2",4.8
"1913","AJ Dillon","202109120nor","GNB","0","0",0,0,0,"0","0","0","","4",19,0,"6","2",1,7,0,"7","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","10","2.5","9","2.3","0","","0","-4","-4.0","11","11.0","-1.0","0","","0","0.0","0","58.3",3.6
"1914","Allen Lazard","202109120nor","GNB","0","0",0,0,0,"0","0","0","","0",0,0,"0","4",2,16,0,"14","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","14","7.0","2","1.0","11.8","0","","0","0.0","0","60.4",3.6
"1915","Alvin Kamara","202109120nor","NOR","0","0",0,0,0,"0","0","0","","20",83,0,"14","4",3,8,1,"3","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","56","2.8","27","1.4","0","","2","-7","-2.3","15","5.0","-1.0","0","","1","25.0","0","116.7",18.1
"1916","Amari Rodgers","202109120nor","GNB","0","0",0,0,0,"0","0","0","","0",0,0,"0","1",1,19,0,"19","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","14","14.0","5","5.0","14.0","0","","0","0.0","0","118.7",2.9
"1917","Chris Hogan","202109120nor","NOR","0","0",0,0,0,"0","0","0","","0",0,0,"0","1",1,10,1,"10","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","10","10.0","0","0.0","10.0","0","","0","0.0","0","147.9",8
"1918","Davante Adams","202109120nor","GNB","0","0",0,0,0,"0","0","0","","0",0,0,"0","7",5,56,0,"31","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","44","8.8","12","2.4","7.3","1","5.0","0","0.0","1","55.4",10.6
"1919","Deonte Harris","202109120nor","NOR","0","0",0,0,0,"0","0","0","","0",0,0,"0","2",2,72,1,"55","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","66","33.0","6","3.0","33.0","0","","0","0.0","0","158.3",15.2
"1920","Jameis Winston","202109120nor","NOR","14","20",148,5,0,"0","0","55","130.8","6",37,0,"15","0",0,0,0,"0","0",0,"9","45.0","152","7.6","93","6.6","4.7","55","3.9","3",15.8,"2",10.5,"5","0","3","3",13,"3","12.0","4","19","3.2","18","3.0","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.62
"1921","Jordan Love","202109120nor","GNB","5","7",68,0,0,"1","4","32","102.1","0",0,0,"0","0",0,0,0,"0","1",1,"3","37.5","91","13.0","49","9.8","7.0","19","3.8","0",0,"1",14.3,"3","0","0","1",12.5,"0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72
"1922","Juwan Johnson","202109120nor","NOR","0","0",0,0,0,"0","0","0","","0",0,0,"0","3",3,21,2,"12","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","4","1.3","17","5.7","1.3","0","","0","0.0","0","135.4",17.1
"1923","Kylin Hill","202109120nor","GNB","0","0",0,0,0,"0","0","0","","5",14,0,"8","0",0,0,0,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","8","1.6","6","1.2","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4
"1924","Malik Taylor","202109120nor","GNB","0","0",0,0,0,"0","0","0","","0",0,0,"0","3",2,14,0,"7","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","6","3.0","8","4.0","10.0","0","","0","0.0","0","77.1",3.4
"1925","Marcedes Lewis","202109120nor","GNB","0","0",0,0,0,"0","0","0","","0",0,0,"0","1",1,19,0,"19","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","5","5.0","14","14.0","5.0","0","","0","0.0","0","118.7",2.9
"1926","Marquez Callaway","202109120nor","NOR","0","0",0,0,0,"0","0","0","","0",0,0,"0","2",1,14,0,"14","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","13","13.0","1","1.0","19.5","0","","0","0.0","0","72.9",2.4
"1927","Marquez Valdes-Scantling","202109120nor","GNB","0","0",0,0,0,"0","0","0","","0",0,0,"0","8",3,17,0,"10","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","11","3.7","6","2.0","19.5","0","","0","0.0","1","6.2",4.7
"1928","Randall Cobb","202109120nor","GNB","0","0",0,0,0,"0","0","0","","1",1,0,"1","1",1,32,0,"32","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0.0","1","1.0","1","1.0","1","29","29.0","3","3.0","29.0","0","","0","0.0","0","118.7",4.3
"1929","Robert Tonyan","202109120nor","GNB","0","0",0,0,0,"0","0","0","","0",0,0,"0","4",2,8,0,"5","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","-2","-1.0","10","5.0","0.5","0","","0","0.0","0","56.2",2.8
"1930","Taysom Hill","202109120nor","NOR","1","1",3,0,0,"0","0","3","79.2","2",1,0,"2","0",0,0,0,"0","0",0,"1","100.0","0","0.0","0","0.0","0.0","3","3.0","0",0,"0",0,"0","0","0","0",0,"0","","1","0","0.0","1","0.5","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22
"1931","Tony Jones","202109120nor","NOR","0","0",0,0,0,"0","0","0","","11",50,0,"9","1",1,3,0,"3","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","28","2.5","22","2.0","0","","1","0","0.0","3","3.0","0.0","0","","0","0.0","0","79.2",6.3
"1932","Ty Montgomery","202109120nor","NOR","0","0",0,0,0,"0","0","0","","0",0,0,"0","1",1,5,0,"5","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","0","0.0","5","5.0","0.0","0","","0","0.0","0","87.5",1.5
"1933","Aaron Jones","202109260sfo","GNB","0","0",0,0,0,"0","0","0","","19",82,1,"12","2",2,14,0,"11","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","41","2.2","41","2.2","2","9.5","1","-3","-1.5","17","8.5","-1.5","0","","0","0.0","0","95.8",17.6
"1934","Aaron Rodgers","202109260sfo","GNB","23","33",261,2,0,"1","8","47","113.3","0",0,0,"0","1",1,-4,0,"-4","0",0,"13","38.2","354","10.7","161","7.0","4.9","100","4.3","1",3.2,"5",16.1,"8","2","1","4",11.8,"0","",NA,NA,NA,NA,NA,NA,NA,"0","-4","-4.0","0","0.0","-4.0","0","","0","0.0","0","79.2",19.04
"1935","AJ Dillon","202109260sfo","GNB","0","0",0,0,0,"0","0","0","","6",18,0,"6","2",2,8,0,"6","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","10","1.7","8","1.3","0","","0","2","1.0","6","3.0","1.0","0","","0","0.0","0","83.3",4.6
"1936","Allen Lazard","202109260sfo","GNB","0","0",0,0,0,"0","0","0","","0",0,0,"0","1",1,42,0,"42","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","23","23.0","19","19.0","23.0","0","","0","0.0","0","118.7",5.2
"1937","Brandon Aiyuk","202109260sfo","SFO","0","0",0,0,0,"0","0","0","","1",8,0,"8","6",4,37,1,"16","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","5","5.0","3","3.0","0","","2","37","9.3","0","0.0","7.3","0","","1","16.7","0","122.9",14.5
"1938","Davante Adams","202109260sfo","GNB","0","0",0,0,0,"0","0","0","","0",0,0,"0","18",12,132,1,"25","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9","103","8.6","29","2.4","14.1","0","","1","5.6","0","106.7",31.2
"1939","Deebo Samuel","202109260sfo","SFO","0","0",0,0,0,"0","0","0","","2",0,0,"0","10",5,52,0,"19","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0.0","0","0.0","0","","4","23","4.6","29","5.8","6.1","0","","1","10.0","0","65.4",10.2
"1940","George Kittle","202109260sfo","SFO","0","0",0,0,0,"0","0","0","","1",9,0,"9","9",7,92,0,"39","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","5","5.0","4","4.0","0","","4","33","4.7","59","8.4","9.1","1","7.0","0","0.0","1","69.7",17.1
"1941","Jimmy Garoppolo","202109260sfo","SFO","25","40",257,2,1,"4","26","39","87.2","1",4,0,"4","0",0,0,0,"0","1",1,"14","31.8","261","6.5","143","5.7","3.6","114","4.6","3",7.9,"4",10.5,"9","3","6","13",29.5,"0","","0","4","4.0","0","0.0","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.68
"1942","Josiah Deguara","202109260sfo","GNB","0","0",0,0,0,"0","0","0","","0",0,0,"0","1",1,4,0,"4","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","0","0.0","4","4.0","0.0","0","","0","0.0","0","83.3",1.4
"1943","Kyle Juszczyk","202109260sfo","SFO","0","0",0,0,0,"0","0","0","","5",14,0,"5","4",4,37,1,"12","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","6","1.2","8","1.6","0","","3","22","5.5","15","3.8","5.5","1","4.0","0","0.0","0","144.8",15.1
"1944","Marquez Valdes-Scantling","202109260sfo","GNB","0","0",0,0,0,"0","0","0","","0",0,0,"0","4",3,59,1,"47","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","41","13.7","18","6.0","20.3","0","","0","0.0","0","156.2",14.9
"1945","Mohamed Sanu","202109260sfo","SFO","0","0",0,0,0,"0","0","0","","0",0,0,"0","6",3,36,0,"16","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","29","9.7","7","2.3","8.0","0","","0","0.0","0","68.7",6.6
"1946","Randall Cobb","202109260sfo","GNB","0","0",0,0,0,"0","0","0","","0",0,0,"0","1",0,0,0,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","0","","0","","3.0","0","","0","0.0","0","39.6",0
"1947","Robert Tonyan","202109260sfo","GNB","0","0",0,0,0,"0","0","0","","0",0,0,"0","1",1,6,0,"6","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","-1","-1.0","7","7.0","-1.0","0","","0","0.0","0","91.7",1.6
"1948","Trey Lance","202109260sfo","SFO","0","0",0,0,0,"0","0","0","","1",1,1,"1","0",0,0,0,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0.0","1","1.0","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1
"1949","Trey Sermon","202109260sfo","SFO","0","0",0,0,0,"0","0","0","","10",31,1,"16","3",2,3,0,"3","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","15","1.5","16","1.6","1","10.0","0","-1","-0.5","4","2.0","0.3","0","","1","33.3","0","70.1",11.4
"1950","Aaron Jones","202110030gnb","GNB","0","0",0,0,0,"0","0","0","","15",48,0,"15","4",3,51,0,"26","1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","28","1.9","20","1.3","1","15.0","2","5","1.7","46","15.3","4.5","1","3.0","0","0.0","0","116.7",10.9
"1951","Aaron Rodgers","202110030gnb","GNB","20","36",248,2,0,"3","12","28","95.6","3",2,1,"4","0",0,0,0,"0","0",0,"13","33.3","344","9.6","115","5.8","3.2","133","6.7","1",2.9,"10",28.6,"9","6","4","13",32.5,"1","4.0","1","2","0.7","0","0.0","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.12
"1952","AJ Dillon","202110030gnb","GNB","0","0",0,0,0,"0","0","0","","15",81,0,"25","1",1,16,0,"16","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","45","3.0","36","2.4","2","7.5","1","3","3.0","13","13.0","3.0","0","","0","0.0","0","118.7",10.7
"1953","Allen Lazard","202110030gnb","GNB","0","0",0,0,0,"0","0","0","","0",0,0,"0","3",2,33,0,"28","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","16","8.0","17","8.5","9.0","0","","0","0.0","0","103.5",5.3
"1954","Ben Roethlisberger","202110030gnb","PIT","26","40",232,1,1,"2","12","45","78.3","0",0,0,"0","0",0,0,0,"0","1",1,"11","26.2","294","7.4","121","4.7","3.0","111","4.3","1",2.6,"8",20.5,"10","2","3","7",16.7,"0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.28
"1955","Benny Snell Jr.","202110030gnb","PIT","0","0",0,0,0,"0","0","0","","1",0,0,"0","1",0,0,0,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","0","0.0","0","0.0","0","","","0","","0","","0.0","0","","1","100.0","0","39.6",0
"1956","Davante Adams","202110030gnb","GNB","0","0",0,0,0,"0","0","0","","0",0,0,"0","11",6,64,0,"21","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","32","5.3","32","5.3","7.5","0","","0","0.0","0","71.8",12.4
"1957","Diontae Johnson","202110030gnb","PIT","0","0",0,0,0,"0","0","0","","0",0,0,"0","13",9,92,1,"45","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","68","7.6","24","2.7","10.8","1","9.0","0","0.0","1","82.9",24.2
"1958","Equanimeous St. Brown","202110030gnb","GNB","0","0",0,0,0,"0","0","0","","0",0,0,"0","1",0,0,0,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","0","","0","","6.0","0","","1","100.0","0","39.6",0
"1959","Eric Ebron","202110030gnb","PIT","0","0",0,0,0,"0","0","0","","0",0,0,"0","2",2,8,0,"4","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","6","3.0","2","1.0","3.0","0","","0","0.0","0","83.3",2.8
"1960","James Washington","202110030gnb","PIT","0","0",0,0,0,"0","0","0","","0",0,0,"0","5",4,69,0,"30","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","40","10.0","29","7.3","9.6","0","","0","0.0","0","118.7",10.9
"1961","JuJu Smith-Schuster","202110030gnb","PIT","0","0",0,0,0,"0","0","0","","0",0,0,"0","8",2,11,0,"9","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","9","4.5","2","1.0","11.9","0","","0","0.0","0","39.6",3.1
"1962","Marcedes Lewis","202110030gnb","GNB","0","0",0,0,0,"0","0","0","","0",0,0,"0","2",1,7,0,"7","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","2","2.0","5","5.0","15.5","0","","0","0.0","0","58.3",1.7
"1963","Najee Harris","202110030gnb","PIT","0","0",0,0,0,"0","0","0","","15",62,1,"11","7",6,29,0,"9","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","28","1.9","34","2.3","1","15.0","2","-16","-2.7","45","7.5","-2.3","1","6.0","0","0.0","0","83.9",21.1
"1964","Pat Freiermuth","202110030gnb","PIT","0","0",0,0,0,"0","0","0","","0",0,0,"0","1",1,11,0,"11","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","10","10.0","1","1.0","10.0","0","","0","0.0","0","112.5",2.1
"1965","Randall Cobb","202110030gnb","GNB","0","0",0,0,0,"0","0","0","","0",0,0,"0","6",5,69,2,"25","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","52","10.4","17","3.4","11.8","0","","0","0.0","0","154.2",23.9
"1966","Ray-Ray McCloud","202110030gnb","PIT","0","0",0,0,0,"0","0","0","","0",0,0,"0","1",1,2,0,"2","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","-2","-2.0","4","4.0","-2.0","0","","0","0.0","0","79.2",1.2
"1967","Robert Tonyan","202110030gnb","GNB","0","0",0,0,0,"0","0","0","","0",0,0,"0","7",2,8,0,"6","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5","2.5","3","1.5","11.9","0","","0","0.0","0","39.6",2.8
"1968","Zach Gentry","202110030gnb","PIT","0","0",0,0,0,"0","0","0","","0",0,0,"0","1",1,10,0,"10","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","6","6.0","4","4.0","6.0","0","","0","0.0","0","108.3",2
"1969","Aaron Jones","202110240gnb","GNB","0","0",0,0,0,"0","0","0","","6",19,0,"9","5",5,20,0,"10","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","9","1.5","10","1.7","0","","2","-12","-2.4","32","6.4","-2.4","0","","0","0.0","0","83.3",8.9
"1970","Aaron Rodgers","202110240gnb","GNB","27","35",274,3,0,"3","27","26","127.6","2",17,0,"15","0",0,0,0,"0","0",0,"16","42.1","210","6.0","151","5.6","4.3","123","4.6","1",2.9,"5",14.7,"11","2","3","8",20,"2","8.5","1","2","1.0","15","7.5","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.66
"1971","Adam Humphries","202110240gnb","WAS","0","0",0,0,0,"0","0","0","","0",0,0,"0","4",3,36,0,"17","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","32","10.7","4","1.3","11.0","0","","0","0.0","1","62.5",6.6
"1972","AJ Dillon","202110240gnb","GNB","0","0",0,0,0,"0","0","0","","3",6,0,"3","2",1,2,0,"2","2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","3","1.0","3","1.0","0","","","4","4.0","-2","-2.0","2.5","0","","0","0.0","0","56.2",-0.2
"1973","Allen Lazard","202110240gnb","GNB","0","0",0,0,0,"0","0","0","","0",0,0,"0","6",5,60,1,"19","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","37","7.4","23","4.6","8.0","0","","0","0.0","0","147.9",17
"1974","Antonio Gibson","202110240gnb","WAS","0","0",0,0,0,"0","0","0","","14",51,0,"6","2",2,5,0,"5","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","27","1.9","24","1.7","0","","0","-12","-6.0","17","8.5","-6.0","0","","0","0.0","0","79.2",7.6
"1975","Davante Adams","202110240gnb","GNB","0","0",0,0,0,"0","0","0","","0",0,0,"0","7",6,76,1,"26","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","52","8.7","24","4.0","8.3","0","","0","0.0","0","151.5",19.6
"1976","Dax Milne","202110240gnb","WAS","0","0",0,0,0,"0","0","0","","0",0,0,"0","4",2,16,0,"13","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","8","4.0","8","4.0","9.5","0","","0","0.0","0","60.4",3.6
"1977","DeAndre Carter","202110240gnb","WAS","0","0",0,0,0,"0","0","0","","1",27,0,"27","1",1,4,0,"4","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","27","27.0","0","0.0","0","","0","4","4.0","0","0.0","4.0","0","","0","0.0","0","83.3",4.1
"1978","Equanimeous St. Brown","202110240gnb","GNB","0","0",0,0,0,"0","0","0","","1",13,0,"13","1",0,0,0,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","7","7.0","6","6.0","0","","0","0","","0","","28.0","0","","0","0.0","0","39.6",1.3
"1979","J.D. McKissic","202110240gnb","WAS","0","0",0,0,0,"0","0","0","","4",22,0,"8","6",4,34,0,"15","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","15","3.8","7","1.8","0","","2","-4","-1.0","38","9.5","0.2","0","","0","0.0","0","81.2",9.6
