"","Player","Game","Team","Cmp","PassAtt","PassYds","PassTD","PassInt","Sk","YdsLost","PassLng","Rate","RushAtt","RushYds","RushTD","RushLng","Tgt","Rec","RecYds","RecTD","RecLng","Fmb","FL","FirstDPass","FirstDPassPer","IAY","IAYPerPA","CAY","CAYPerCmp","CAYPerPA","PassYAC","YACPerCmp","PassDrops","DropPer","BadThrow","BadPer","Bltz","Hrry","Hits","Prss","PrssPer","Scrm","YdsPerScr","FirstDRush","RushYBC","YBCPerAtt","RushYAC","YACPerAtt","RushBrkTkl","AttPerBr","FirstDRec","RecYBC","YBCPerR","RecYAC","YACPerR","ADOT","RecBrkTkl","RecPerBr","RecDrop","DropPerRec","RecInt","Rat","fanPts"
"26","Chase Edmonds","202109190crd","ARI","0","0",0,0,0,"0","0","0","","8",46,0,"14","5",5,29,0,"13","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","22","2.8","24","3.0","1","8.0","1","17","3.4","12","2.4","3.4","0","","0","0.0","0","90.8",12.5
"27","Christian Kirk","202109190crd","ARI","0","0",0,0,0,"0","0","0","","0",0,0,"0","4",3,65,0,"35","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","61","20.3","4","1.3","23.8","0","","0","0.0","1","77.1",9.5
"28","Dalvin Cook","202109190crd","MIN","0","0",0,0,0,"0","0","0","","22",131,0,"16","3",2,17,0,"14","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8","70","3.2","61","2.8","0","","1","0","0.0","17","8.5","-1.7","0","","1","33.3","0","81.2",16.8
"29","DeAndre Hopkins","202109190crd","ARI","0","0",0,0,0,"0","0","0","","0",0,0,"0","4",4,54,1,"16","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","41","10.3","13","3.3","10.3","0","","0","0.0","0","158.3",15.4
"30","James Conner","202109190crd","ARI","0","0",0,0,0,"0","0","0","","8",26,0,"9","0",0,0,0,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","11","1.4","15","1.9","1","8.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6
"31","Justin Jefferson","202109190crd","MIN","0","0",0,0,0,"0","0","0","","0",0,0,"0","10",6,65,1,"14","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","48","8.0","17","2.8","12.4","0","","2","20.0","0","112.5",18.5
"32","K.J. Osborn","202109190crd","MIN","0","0",0,0,0,"0","0","0","","0",0,0,"0","6",5,91,1,"64","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","49","9.8","42","8.4","7.8","0","","0","0.0","0","158.3",20.1
"33","Kirk Cousins","202109190crd","MIN","22","32",244,3,0,"1","2","64","122.4","2",35,0,"29","0",0,0,0,"0","1",0,"10","30.3","203","6.3","111","5.0","3.5","133","6.0","3",9.4,"3",9.4,"17","2","4","7",20,"2","17.5","2","33","16.5","2","1.0","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.26
"34","Kyler Murray","202109190crd","ARI","29","36",400,3,2,"3","29","77","117.6","5",31,1,"12","0",0,0,0,"0","0",0,"16","41.0","296","8.2","209","7.2","5.8","191","6.6","1",2.9,"1",2.9,"6","6","0","9",22,"2","7.5","2","28","5.6","3","0.6","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.1
"35","Maxx Williams","202109190crd","ARI","0","0",0,0,0,"0","0","0","","0",0,0,"0","7",7,94,0,"34","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","37","5.3","57","8.1","5.3","0","","0","0.0","0","118.7",16.4
"36","Rondale Moore","202109190crd","ARI","0","0",0,0,0,"0","0","0","","0",0,0,"0","8",7,114,1,"77","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","23","3.3","91","13.0","3.6","1","7.0","0","0.0","1","118.7",24.4
"37","Tyler Conklin","202109190crd","MIN","0","0",0,0,0,"0","0","0","","0",0,0,"0","4",2,15,0,"9","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","-3","-1.5","18","9.0","1.8","0","","0","0.0","0","59.4",3.5
"38","A.J. Green","202109260jax","ARI","0","0",0,0,0,"0","0","0","","0",0,0,"0","6",5,112,0,"36","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","97","19.4","15","3.0","17.7","0","","0","0.0","0","118.7",16.2
"39","Carlos Hyde","202109260jax","JAX","0","0",0,0,0,"0","0","0","","8",44,0,"18","0",0,0,0,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","12","1.5","32","4.0","1","8.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4
"40","Chase Edmonds","202109260jax","ARI","0","0",0,0,0,"0","0","0","","11",26,0,"7","8",7,49,0,"12","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","11","1.0","15","1.4","0","","1","-4","-0.6","53","7.6","0.8","1","7.0","0","0.0","0","92.2",14.5
"41","Christian Kirk","202109260jax","ARI","0","0",0,0,0,"0","0","0","","0",0,0,"0","8",7,104,0,"33","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","67","9.6","37","5.3","13.9","0","","0","0.0","1","79.2",17.4
"42","DeAndre Hopkins","202109260jax","ARI","0","0",0,0,0,"0","0","0","","0",0,0,"0","6",3,21,0,"8","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","9","3.0","12","4.0","6.0","0","","0","0.0","0","58.3",5.1
"43","DJ Chark","202109260jax","JAX","0","0",0,0,0,"0","0","0","","0",0,0,"0","6",3,49,1,"25","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","37","12.3","12","4.0","16.3","0","","0","0.0","0","117.4",13.9
"44","Jacob Hollister","202109260jax","JAX","0","0",0,0,0,"0","0","0","","0",0,0,"0","6",2,15,0,"9","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","15","7.5","0","0.0","12.2","0","","1","16.7","2","2.8",3.5
"45","James Conner","202109260jax","ARI","0","0",0,0,0,"0","0","0","","11",43,2,"11","1",1,10,0,"10","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","19","1.7","24","2.2","1","11.0","1","2","2.0","8","8.0","2.0","0","","0","0.0","0","108.3",18.3
"46","James Robinson","202109260jax","JAX","0","0",0,0,0,"0","0","0","","15",88,1,"21","6",6,46,0,"13","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","31","2.1","57","3.8","0","","2","6","1.0","40","6.7","1.0","0","","0","0.0","0","98.6",25.4
"47","Kyler Murray","202109260jax","ARI","28","34",316,0,1,"0","0","36","93.1","7",19,1,"9","0",0,0,0,"0","0",0,"14","41.2","263","7.7","173","6.2","5.1","143","5.1","0",0,"4",11.8,"4","0","1","1",2.7,"3","5.7","2","18","2.6","1","0.1","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.54
"48","Laviska Shenault Jr.","202109260jax","JAX","0","0",0,0,0,"0","0","0","","0",0,0,"0","4",4,48,0,"20","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","26","6.5","22","5.5","6.5","0","","0","0.0","0","116.7",8.8
"49","Luke Farrell","202109260jax","JAX","0","0",0,0,0,"0","0","0","","0",0,0,"0","1",1,-1,0,"-1","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","3","3.0","-4","-4.0","3.0","0","","0","0.0","0","79.2",0.9
"50","Marvin Jones","202109260jax","JAX","0","0",0,0,0,"0","0","0","","0",0,0,"0","8",6,62,0,"14","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","48","8.0","14","2.3","7.5","0","","0","0.0","0","96.9",12.2
"51","Maxx Williams","202109260jax","ARI","0","0",0,0,0,"0","0","0","","0",0,0,"0","3",3,19,0,"7","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","12","4.0","7","2.3","4.0","0","","0","0.0","0","93.1",4.9
"52","Phillip Dorsett","202109260jax","JAX","0","0",0,0,0,"0","0","0","","0",0,0,"0","1",0,0,0,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","0","","0","","22.0","0","","0","0.0","0","39.6",0
"53","Rondale Moore","202109260jax","ARI","0","0",0,0,0,"0","0","0","","1",3,0,"3","2",2,1,0,"3","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","0","0.0","3","3.0","0","","","-10","-5.0","11","5.5","-5.0","0","","0","0.0","0","79.2",2.4
"54","Trevor Lawrence","202109260jax","JAX","22","34",219,1,2,"3","17","25","68.1","6",27,0,"10","0",0,0,0,"0","2",2,"10","27.0","286","8.4","135","6.1","4.0","84","3.8","1",3,"8",24.2,"9","4","4","11",28.2,"2","7.5","0","16","2.7","11","1.8","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.46
"55","A.J. Green","202110030ram","ARI","0","0",0,0,0,"0","0","0","","0",0,0,"0","6",5,67,1,"41","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","46","9.2","21","4.2","8.7","0","","0","0.0","0","152.8",17.7
"56","Chase Edmonds","202110030ram","ARI","0","0",0,0,0,"0","0","0","","12",120,0,"54","5",4,19,0,"9","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","96","8.0","24","2.0","1","12.0","1","8","2.0","11","2.8","5.6","0","","1","20.0","0","82.5",17.9
"57","Christian Kirk","202110030ram","ARI","0","0",0,0,0,"0","0","0","","0",0,0,"0","1",1,5,0,"5","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","4","4.0","1","1.0","4.0","0","","0","0.0","0","87.5",1.5
"58","Colt McCoy","202110030ram","ARI","0","0",0,0,0,"0","0","0","","2",-2,0,"-1","0",0,0,0,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","-2","-1.0","0","0.0","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.2
"59","Cooper Kupp","202110030ram","LAR","0","0",0,0,0,"0","0","0","","0",0,0,"0","13",5,64,0,"35","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","47","9.4","17","3.4","8.8","0","","1","7.7","0","54.6",11.4
"60","Darrell Henderson","202110030ram","LAR","0","0",0,0,0,"0","0","0","","14",89,0,"15","6",5,27,0,"13","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","62","4.4","27","1.9","1","14.0","1","-10","-2.0","37","7.4","-1.3","0","","0","0.0","0","85.4",16.6
"61","DeAndre Hopkins","202110030ram","ARI","0","0",0,0,0,"0","0","0","","0",0,0,"0","7",4,67,0,"25","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","50","12.5","17","4.3","13.1","0","","0","0.0","0","89.6",10.7
"62","DeSean Jackson","202110030ram","LAR","0","0",0,0,0,"0","0","0","","0",0,0,"0","3",1,6,0,"6","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","0","0.0","6","6.0","21.3","0","","0","0.0","1","2.8",1.6
"63","James Conner","202110030ram","ARI","0","0",0,0,0,"0","0","0","","18",50,2,"10","2",2,16,0,"9","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","25","1.4","25","1.4","0","","0","4","2.0","12","6.0","2.0","0","","0","0.0","0","100.0",20.6
"64","Johnny Mundt","202110030ram","LAR","0","0",0,0,0,"0","0","0","","0",0,0,"0","1",1,9,0,"9","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","7","7.0","2","2.0","7.0","0","","0","0.0","0","104.2",1.9
"65","Kyler Murray","202110030ram","ARI","24","32",268,2,0,"3","19","41","120.3","6",39,0,"18","0",0,0,0,"0","0",0,"11","31.4","230","7.2","128","5.3","4.0","140","5.8","1",3.4,"2",6.9,"7","8","0","11",28.2,"4","9.5","2","39","6.5","0","0.0","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.62
